fixture	pierce_cells	W	unroutable_pct	stranded	rooms	o3_phantom_pct	o3_verdict	t5_retention_pct	wall_m2	encl_m2
Clinic	8	B	49.6	57	208	n/a	N/A	100.0	809	1980
Clinic	8	W:1.5	49.6	57	208	n/a	N/A	100.0	809	1980
Clinic	8	W:2.0	49.6	57	208	n/a	N/A	100.0	809	1980
Clinic	8	W:3.0	49.6	57	208	n/a	N/A	100.0	809	1980
Clinic	8	W:6.0	49.6	57	208	n/a	N/A	100.0	809	1980
Clinic	8	cur	49.6	57	208	n/a	N/A	100.0	809	1980
LTU_AHouse	8	B	38.0	292	519	38	FAIL	100.0	3499	22311
LTU_AHouse	8	W:1.5	34.5	143	368	38	FAIL	100.0	2981	22311
LTU_AHouse	8	W:2.0	28.5	127	326	38	FAIL	100.0	2774	22311
LTU_AHouse	8	W:3.0	26.4	35	301	38	FAIL	100.0	2547	22311
LTU_AHouse	8	W:6.0	22.4	28	290	38	FAIL	100.0	2454	22311
LTU_AHouse	8	cur	22.6	25	286	38	FAIL	100.0	2363	22311
Clinic	10	B	50.4	53	184	n/a	N/A	100.0	793	1980
Clinic	10	W:1.5	50.4	53	184	n/a	N/A	100.0	793	1980
Clinic	10	W:2.0	50.4	53	184	n/a	N/A	100.0	793	1980
Clinic	10	W:3.0	50.4	53	184	n/a	N/A	100.0	793	1980
Clinic	10	W:6.0	50.4	53	184	n/a	N/A	100.0	793	1980
Clinic	10	cur	50.4	53	184	n/a	N/A	100.0	793	1980
LTU_AHouse	10	B	25.2	276	489	94	FAIL	100.0	3467	22311
LTU_AHouse	10	W:1.5	30.2	124	344	94	FAIL	100.0	2950	22311
LTU_AHouse	10	W:2.0	24.8	111	302	94	FAIL	100.0	2744	22311
LTU_AHouse	10	W:3.0	23.0	26	276	94	FAIL	100.0	2519	22311
LTU_AHouse	10	W:6.0	18.7	20	265	94	FAIL	100.0	2426	22311
LTU_AHouse	10	cur	18.8	17	261	94	FAIL	100.0	2336	22311
Clinic	6	B	49.8	56	207	n/a	N/A	100.0	824	1980
Clinic	6	W:1.5	49.8	56	207	n/a	N/A	100.0	824	1980
Clinic	6	W:2.0	49.8	56	207	n/a	N/A	100.0	824	1980
Clinic	6	W:3.0	49.8	56	207	n/a	N/A	100.0	824	1980
Clinic	6	W:6.0	49.8	56	207	n/a	N/A	100.0	824	1980
Clinic	6	cur	49.8	56	207	n/a	N/A	100.0	824	1980
LTU_AHouse	6	B	40.9	294	531	33	FAIL	100.0	3534	22311
LTU_AHouse	6	W:1.5	37.8	150	378	33	FAIL	100.0	3014	22311
LTU_AHouse	6	W:2.0	30.7	133	336	33	FAIL	100.0	2807	22311
LTU_AHouse	6	W:3.0	29.1	41	309	33	FAIL	100.0	2579	22311
LTU_AHouse	6	W:6.0	25.3	34	297	33	FAIL	100.0	2484	22311
LTU_AHouse	6	cur	25.6	31	293	33	FAIL	100.0	2394	22311
Clinic	12	B	56.3	42	143	n/a	N/A	100.0	779	1980
Clinic	12	W:1.5	56.3	42	143	n/a	N/A	100.0	779	1980
Clinic	12	W:2.0	56.3	42	143	n/a	N/A	100.0	779	1980
Clinic	12	W:3.0	56.3	42	143	n/a	N/A	100.0	779	1980
